,product
488,"['Supreme Cook - 格陵蘭比目魚扒 (300g) (急凍 -18°C)', '$ 39.00']"
489,"['台灣入口 - 台灣吞拿魚腩肉 鮪魚腹肉(急凍-18度, 非刺身)#營養豐富的鮪魚扒，啖啖肉，唔怕有骨#富含DHA&EPA#肉質細緻，在口中化開的軟嫩口感', '$ 97.00']"
490,"['鯨魚仔 - 南海大鷹鯧 (急凍1KG+) #海魚 #海鮮 #小菜 #街市', '$ 220.00']"
491,"['肉室 - 【方便易煮】三文魚腩條', '$ 68.00']"
492,"['寶達 - 活凍馬鮫魚 (已去除魚鱗及內臟) (冰鮮)', '$ 68.00']"
493,"['大鵬海畔 - 東海肉鯧魚x2包裝500g (-18°C 急速鎖鮮)', '$ 19.90']"
494,"['34° Natural Food - 金湯酸菜魚（脆肉鯛魚）(急凍 -18°C) 425g', '$ 52.00']"
495,"['真味市場 - 格陵蘭野生比目魚扒 400g ( 急凍 -18 )', '$ 76.90']"
496,"['鯨魚仔 - 野生鸚鵡魚柳（青衣）(500g 急凍) #海鮮 #烤焗 #香煎 #燒烤 #小菜', '$ 52.00']"
497,"['尚煮食品 - 日本鹽青魚柳(1盒2件) #急凍#海鮮#燒#煎', '$ 78.00']"
498,"['蔡市場 - 台灣秋刀魚', '$ 22.90']"
499,"['FoodWise - 智利三文魚扒 300G', '$ 59.90']"
500,"['全城熱賣 - [海] · ❤️e閃購❤️ 智利大三文魚扒 2件裝 (400g COHO 三文魚扒) #salessea', '$ 79.90']"
501,"['Supreme Cook - 白飯魚/銀魚 (約1000g) (急凍 -18°C)', '$ 89.00']"
502,"['寶達 - 靚漁獲 套餐 【D】- 活凍黃花魚 (已去除魚鱗及內臟) (冰鮮 0-4度) + 活凍大連鮑魚14頭 (6-8隻) (冰鮮)', '$ 135.00']"
503,"['大團圓 - 日式蒲燒鰻魚143克 x 3', '$ 156.00']"
504,"['34° Natural Food - 老壇酸菜魚（脆肉鯛魚）(急凍 -18°C) 425g', '$ 52.00']"
505,"['34° Natural Food - 急凍美國野生紅鮭魚柳 (4塊裝) (急凍 -18°C) 400g', '$ 140.00']"
506,"['34° Natural Food - 日本北海道有頭花魚一夜干 (急凍 -18°C)300-350g #氣炸#焗爐食品#燒烤#煎', '$ 52.00']"
507,"['FoodWise - 智利三文魚柳 250G', '$ 65.00']"
508,"['全城熱賣 - [海] · ❤️e閃購❤️ 美國阿拉斯加銀鱈魚扒 (400g 鱈魚) #salessea', '$ 129.90']"
509,"['34° Natural Food - 越南巴沙魚柳（2塊裝） (急凍 -18°C) 500g #海鮮#氣炸#煎焗', '$ 25.00']"
510,"['寶達 - 白鯧魚 (已去除魚鱗及內臟) (冰鮮) (冷凍 0-4°C)', '$ 35.00']"
511,"['集森 - 日式多春魚(特大)（-18度急凍）(170克)', '$ 48.00']"
512,"['漁鮮快遞  - 紐西蘭鱈魚柳 4塊(急凍)', '$ 58.00']"
513,"['寶達 - 韓國 香辣明太魚 300g', '$ 68.00']"
514,"['Savory - 紐西蘭深海鱈魚柳 (Hoki Loin Fillets) ~4件 ,440克 / 包 +/-5% (-18C)', '$ 56.00']"
515,"['香港 - Kilo Calo 檸檬刁草味即食雕魚240克(2件) (急凍-18°C) ［健身 健康 魚肉 急凍 凍肉 減肥 預食 三文魚 香港製造］', '$ 144.40']"
516,"['漁鮮快遞 - 日本銀魚西京漬100g up(1塊)(急凍)', '$ 78.00']"
517,"['全城熱賣 - [海] · ❤️e閃購❤️ 智利大三文魚扒 2件裝 (400g COHO 三文魚扒) #salessea', '$ 79.90']"
518,"['GNA HK - 韓國烤魚乾片170g(急凍)', '$ 88.00']"
519,"['全城熱賣 - [海] · 格陵蘭野生比目魚柳 (350g 比目魚柳) 有皮去骨 [急凍-18ºC] 新舊包裝隨機出貨 #salessea', '$ 89.00']"
520,"['Leroy - 急凍挪威三文魚柳500g', '$ 138.00']"
521,"['寶達 - 靚漁獲 套餐 【A】- 活凍黃花魚 (已去除魚鱗及內臟) (冰鮮 0-4度) + 鳳紋貝 (新鮮) + 活凍大連鮑魚14頭 (6-8隻) (冰鮮0-4°C)', '$ 148.00']"
522,"['屋台 - 真空蒲燒鰻魚（約200g）#急凍 #鰻魚丼 #即食 #燒物 #日式 #魚柳 #海鮮', '$ 68.00']"
523,"['寶達 - 八爪魚仔 (冰鮮) (冷凍 0-4°C)', '$ 38.00']"
524,"['MyFridge - 原條急凍蒲燒鰻魚 約150-160g #日式料理#定食#丼飯#燒汁', '$ 59.50']"
525,"['鯨魚仔 - 紅燕星斑(600g+ 急凍)#石斑#星斑#海鮮#海魚#去內臟#去鰓#魚湯#燒烤#小菜#火鍋', '$ 98.00']"
526,"['漁鮮快遞  - 多春魚子500g(急凍)', '$ 148.00']"
527,"['鱻 - 剁椒魚頭(急凍 -18℃) ', '$ 78.00']"
528,"['鯨魚仔 - 帶皮比目魚柳 (400g+) (急凍 -18°C)', '$ 124.00']"
529,"['鯨魚仔 - 無鬚鱈魚扒(300g 2片 急凍)#Hake#野生#海鮮#海魚#燒烤#小菜#煎焗', '$ 38.00']"
530,"['Ocean Three - 挪威三文魚鰭', '$ 40.00']"
531,"['寶達 - 魷魚仔 (冰鮮) (冷凍 0-4°C)', '$ 55.00']"
532,"['Peter’s Butchery and Kitchen - 大魚大肉: 桂花魚 + 本地梅頭 (0-4°C)', '$ 148.00']"
533,"['寶達 - 寶達 - 龍脷 (撻沙) (已去除魚鱗及內臟)', '$ 168.00']"
534,"['OASIS - ""綠洲""花尾龍躉魚腩 (急凍)', '$ 125.00']"
535,"['本土養殖 - 本目鱸扒XXL（鱸魚扒）無須再洗 一開即煮 (急凍)', '$ 230.00']"
536,"['CookCookLand - 免漿脆肉鯛魚片 200g (急凍)', '$ 50.00']"
537,"['全城熱賣 - (橙)三文魚魚生(鮭魚-奶素) 230g (急凍-18°C)[素食 素三文魚 煎魚 炸魚 蒸魚 健康 火鍋 炸物 打邊爐 宵夜]', '$ 50.40']"
538,"['全城熱賣 - [海] · ❤️e閃購❤️ 【超肥美】冰島多春魚 (170g ❎ 2 多春魚) #salessea', '$ 59.90']"
539,"['全城熱賣 - [海] · ❤️e閃購❤️ 加拿大 Aqua East 海捕野生岩魚柳 (350g± 岩魚柳) #salessea', '$ 59.90']"
540,"['MyFridge - 紐西蘭青衣柳 約1磅裝 #無添加#無防腐劑', '$ 73.90']"
541,"['海產佬市集 - 急凍越南虎蝦肉(生料) (急凍-18°C)', '$ 42.80']"
542,"['鮮魚薈 - 冰鮮黃立鯧(去鱗去鰓去臟)附送薑蔥(冰鮮0-4°C)', '$ 40.00']"
543,"['LEADER MARINE - 急凍台灣原條龍虎斑', '$ 128.00']"
544,"['鮮魚薈 - 冰鮮紅鮪(去鱗去鰓去臟)附送薑蔥(冰鮮0-4°C)', '$ 58.80']"
545,"['海產佬市集 - 急凍智利藍青口(天然原味) (急凍-18°C)', '$ 25.80']"
546,"['海產佬市集 - 蜆肉200g(急凍-18°C)', '$ 24.80']"
547,"['鮮魚薈 - 土生土長元朗冰鮮烏頭(去鰓去臟)附送薑蔥(冰鮮0-4°C)', '$ 45.00']"
548,"['海產佬市集 - 條紋赤尾冬 (急凍-18°C)', '$ 38.00']"
549,"['PrimeFood - 紐西蘭 青衣柳 (急凍:存放-18℃)#海鮮#蒸#煎#焗#煮#烤', '$ 59.00']"
550,"['全城熱賣 - [海] · ❤️e閃購❤️ 海紅斑火鍋片 (300g 海斑火鍋片) 野生海捕 急凍 #salessea', '$ 89.90']"
551,"['鮮魚薈 - 冰鮮沙巴龍躉(去鱗去鰓去臟)附送薑蔥(冰鮮0-4°C)', '$ 108.00']"
552,"['海產佬市集 - 南美海參 355克 (急凍-18°C)', '$ 42.90']"
553,"['漁鮮快遞 - 日本辛子明太子80g(2-3條入)(急凍)', '$ 48.00']"
554,"['鮮魚薈 - (我去咗鱗版本) 元朗一帆冰鮮烏頭(去鰓去臟去鱗版)附送薑蔥(冰鮮0-4°C)', '$ 46.00']"
555,"['JASS - 台灣天然養殖無毒原條龍虎斑 (三去) 500g-600g +/-', '$ 108.00']"
556,"['海產佬市集 - 日月貝肉(帶子肉) (急凍-18°C)', '$ 48.80']"
557,"['海產佬市集 - 馬爾代夫黑瓜子 2條裝 (急凍-18°)', '$ 98.00']"
558,"['Kunihiro - 日本廣島冷凍高壓加工去殼蠔肉(M)(急凍-18°C)', '$ 198.00']"
559,"['34° Natural Food - 小龍蝦尾 - 蒜蓉味 (急凍 -18°C) 450g', '$ 88.00']"
560,"['鮮魚薈 - 天天新鮮『配料』套餐F - 土生土長元朗冰鮮烏頭 2條(去鰓去臟)附送薑蔥(冰鮮0-4°C)', '$ 88.00']"
561,"['海產佬市集 - 日本金目鯛(無頭)一夜干 (急凍-18°C)', '$ 89.00']"
562,"['海產佬市集 - 馬爾代夫紅雞 2條裝 (急凍-18°)', '$ 98.00']"
563,"['海產佬市集 - 日本北海道野付特大日本帶子(2L) 刺身級 1KG 裝(急凍-18°)', '$ 688.00']"
564,"['鮮魚薈 - 冰鮮東星斑柳(冰鮮0~4度)', '$ 118.00']"
565,"['TASTIBUY - 澳洲海捕大眼雞-孖裝500g X 2 份 (急凍)', '$ 108.00']"
566,"['海產佬市集 - 馬爾代夫紅朱 2條裝 (急凍-18°)', '$ 98.00']"
567,"['海產佬市集 - 急凍日本三重縣金蠔 80克(急凍-18°)', '$ 82.00']"
568,"['海產佬市集 - GARDE日式仿蟹腳棒(6條裝)(急凍-18°)', '$ 48.00']"
569,"['海產佬市集 - 海鮮雜錦 (急凍-18°C)', '$ 24.80']"
570,"['海產佬市集 - 馬爾代夫花頭梅 2條裝 (急凍-18°)', '$ 98.00']"
571,"['34° Natural Food - 急凍仿雪花蟹柳 (急凍 -18°C) 270g', '$ 42.90']"
572,"['上字 - 4條裝 (240g) - 超巨大帝皇大蟹棒(急凍) #日本 #仿大蟹棒 #居酒屋', '$ 43.00']"
573,"['大街市 - 煙肉帶子卷串燒 (急凍)', '$ 69.90']"
574,"['CookCookLand - 紐西蘭青衣柳500克(急凍)', '$ 119.00']"
575,"['寶達 - 大眼雞 (已去除內臟) (冰鮮)', '$ 45.00']"
576,"['34° Natural Food - 原隻小龍蝦 - 十三香味 4-6錢/隻 (急凍-18°C) 750g', '$ 88.00']"
577,"['Savory - 越南 (Ocean King) 南美大白蝦仁 ( IQF White Shrimp) 21-25 件, ~1公斤/包 +/-5% (-18C)', '$ 119.00']"
578,"['34° Natural Food - 原隻小龍蝦 - 麻辣味 6-8錢/隻 (急凍-18°C) 750g', '$ 98.00']"
579,"['TASTIBUY - 澳洲海捕芝麻斑250g(1條)(已三清) (急凍)', '$ 58.00']"
580,"['TASTIBUY - 澳洲海捕大眼雞孖裝400g', '$ 98.00']"
581,"['大鵬海畔 - 蒜蓉粉絲扇貝 220g(-18°C 急凍急速鎖鮮)', '$ 19.90']"
582,"['漁嘩啦 - 泰正宗海鮮冬陰功500克(急凍 - 零下18度)', '$ 84.90']"
583,"['大鵬海畔 - 去腸生蝦仁110g(-18°C 急凍急速鎖鮮)', '$ 14.99']"
584,"['大鵬海畔 - 麻辣小龍蝦尾240g(-18°C 急凍,急速鎖鮮,附帶40g調料包)', '$ 48.00']"
585,"['Savory - 南美白蝦仁 ( IQF White Shrimp) ~31-40件, 1公斤/包 +/- 5% (-18C)', '$ 109.00']"
586,"['漁鮮快遞  - 日本拖羅蓉(約500g)(急凍)', '$ 188.00']"
587,"['口碑 - 無頭甜蝦刺身 5gx30隻', '$ 72.00']"
588,"['34° Natural Food - 加拿大桂花蚌 特大條 (急凍 -18°C) 約280g', '$ 248.00']"
589,"['34° Natural Food - 急凍碗仔翅 (急凍 -18°C) 300g', '$ 42.00']"
590,"['LEADER MARINE - 急凍 ASC 挪威帶皮三文魚柳', '$ 48.00']"
591,"['LEADER MARINE - 急凍挪威鯖魚 (6片裝)', '$ 68.00']"
592,"['LEADER MARINE - 急凍挪威鯖魚 (10片裝)', '$ 95.00']"
593,"['LEADER MARINE - [北歐滋味] 急凍挪威鯖魚及急凍ASC挪威帶皮三文魚柳套餐', '$ 78.00']"
594,"['尚上品 - 方便易煮！啖啖滑．挪威三文魚腩條 #易煮 #方便 #有營養 #健康 #家常小菜 #氣炸 (急凍-18°C)', '$ 76.80']"
595,"['尚品 - 鱈魚膠(15-20片/盒)(150克) #熱賣No.1花膠 #高CP值', '$ 178.00']"
596,"['LEADER MARINE - 急凍荷蘭帶皮鱸魚柳', '$ 63.00']"
597,"['尚上品 - 每片獨立包裝！格陵蘭野生比目魚柳帶皮去骨(350g/5-7塊) #煎 #烤 #焗 #蒸 #方便易煮 #小朋友 (急凍-18°C)', '$ 78.00']"
598,"['LEADER MARINE - 急凍荷蘭帶皮鯛魚柳', '$ 45.00']"
599,"['COOKS & CO - [英國直送] 葵花籽油浸鯷魚魚柳', '$ 56.20']"
600,"['台灣熱賣 - 華誠 - 酸菜鮮魚片 500g (急凍-18°C) [魚片 氣炸食品 火鍋 煎 蒸 ]', '$ 59.80']"
601,"['Supreme Cook - 蘋果木煙燻三文魚(100g) (急凍 -18°C) (此日期前最佳：2023年5月16日)', '$ 48.00']"
602,"['frozen - 格靈蘭比目魚扒 約454g (急凍-18°C)(4897010670233) #海鮮#氣炸#煎焗', '$ 65.00']"
603,"['台灣熱賣 - 【新產品】佳辰台灣鯛魚下巴 500g (急凍-18°C) **淺藍色袋 [魚鮫]', '$ 88.00']"
604,"['SIMPLY WEST COAST - SIMPLY WEST COAST 加拿大急凍野生比目魚柳 (200g) (最少30日食用期)', '$ 198.00']"
605,"['意記 - (原條-2條)金鯧魚(500g)(急凍-18°C) (每條約200-300g)', '$ 40.00']"
606,"['CookCookLand - 免漿黑魚片 250g (急凍)', '$ 54.00']"
607,"['零食大王 - 越南鯰魚柳 ASC 500g (急凍-18°C) (4897010670219)#海鮮#氣炸#煎焗', '$ 29.00']"
608,"['frozen - 赤魚一夜干半身2枚 120-170g (急凍-18°C)', '$ 55.00']"
609,"['極食通 - 對馬醬油煮海鰻 -3L (急凍‐18℃) 日本直送 #即食鰻魚 #鰻魚', '$ 143.00']"
610,"['尚煮食品 - 【孖裝】日本鳥取蒸燒鯖魚柳 (160g/包 x 2) (急凍-18°C)', '$ 84.00']"
611,"['香港 - Kilo Calo 檸檬刁草味即食三文魚120克(2件)(急凍-18°C) [健身 健康 魚肉 急凍 凍肉 減肥 預食 三文魚 香港製造］', '$ 147.30']"
612,"['意記 - (原條-2條)金鯧魚(500g)(急凍-18°C) (每條約200-300g)', '$ 40.00']"
613,"['口碑 - 急凍有皮白鯛魚柳（淨重280克）#急凍#海鮮#氣炸#蒸焗', '$ 52.00']"
614,"['Peter’s Butchery and Kitchen - 新界魚市場: 孖膠 (墨魚拼蝦) 150g+150g (本地加工) (0-4°C)', '$ 75.00']"
615,"['香港 - Kilo Calo 檸檬刁草味即食雕魚 240克 (2件) (急凍-18°C)', '$ 144.40']"
616,"['Peter’s Butchery and Kitchen - 靚湯精選組合: 生魚 + 本地煲湯尾骨 (0-4°C)', '$ 80.00']"
617,"['Peter’s Butchery and Kitchen - 靚湯精選組合: 生魚 (約350克) + 本地瘦肉 (220克) (0-4°C)', '$ 85.00']"
618,"['Peter’s Butchery and Kitchen - 新界魚市場: 蝦滑 150g (本地加工) (0-4°C)', '$ 42.00']"
619,"['Peter’s Butchery and Kitchen - 新界魚市場: 墨魚滑 150g (本地加工) (0-4°C)', '$ 42.00']"
620,"['寶達 - 活凍海金魚 (已去除魚鱗及內臟) (冰鮮 0-4度)', '$ 58.00']"
621,"['鮮魚薈 - 冰鮮紐西蘭大西洋胸棘鯛(橙鯛)魚柳 (冰鮮0-4°C)', '$ 82.00']"
622,"['Peter’s Butchery and Kitchen - 靚湯精選組合: 生魚 + 本地豬展 (0-4°C)', '$ 96.00']"
623,"['Peter’s Butchery and Kitchen - 大魚大肉火煱精選: 本地蝦滑 150g + 本地火鍋腩片 300g (0-4°C)', '$ 98.00']"
624,"['Peter’s Butchery and Kitchen - 大魚大肉火煱精選: 墨魚滑 150g + 本地火鍋腩片 300g (0-4°C)', '$ 98.00']"
625,"['Peter’s Butchery and Kitchen - 大魚大肉火煱精選: 雙拼孖滑(墨魚&蝦) + 本地火鍋腩片 (0-4°C)', '$ 136.00']"
626,"['Peter’s Butchery and Kitchen - 大魚大肉火煱精選: 白鱔 + 本地火鍋腩片 (0-4°C)', '$ 152.00']"
627,"['Feldts - 有殼北極蝦 500g (急凍-18°C) (最佳食用限期: 2023年6月9日)', '$ 112.00']"
628,"['#Good_ - 日本瀬戸内海(廣島)蠔肉(2L)(急凍-18°C)#日本直送#廣島蠔#海鮮#貝類#吉列炸#打邊爐#煎焗', '$ 158.00']"
629,"['LEADER MARINE - [香港鮮凍] 本地優質原條黃立倉', '$ 20.00']"
630,"['#Good_ - 日本瀬戸内海(廣島)蠔肉(L)(急凍-18°C)#日本直送#廣島蠔#海鮮#貝類#吉列炸#打邊爐#煎焗', '$ 128.00']"
631,"['MyFridge - 紐西蘭青衣柳 約1磅裝 #無添加#無防腐劑', '$ 73.90']"
632,"['海產佬市集 - 急凍越南虎蝦肉(生料) (急凍-18°C)', '$ 42.80']"
633,"['鮮魚薈 - 冰鮮黃立鯧(去鱗去鰓去臟)附送薑蔥(冰鮮0-4°C)', '$ 40.00']"
634,"['LEADER MARINE - 急凍台灣原條龍虎斑', '$ 128.00']"
635,"['鮮魚薈 - 冰鮮紅鮪(去鱗去鰓去臟)附送薑蔥(冰鮮0-4°C)', '$ 58.80']"
636,"['海產佬市集 - 急凍智利藍青口(天然原味) (急凍-18°C)', '$ 25.80']"
637,"['海產佬市集 - 蜆肉200g(急凍-18°C)', '$ 24.80']"
638,"['鮮魚薈 - 土生土長元朗冰鮮烏頭(去鰓去臟)附送薑蔥(冰鮮0-4°C)', '$ 45.00']"
639,"['海產佬市集 - 條紋赤尾冬 (急凍-18°C)', '$ 38.00']"
640,"['PrimeFood - 紐西蘭 青衣柳 (急凍:存放-18℃)#海鮮#蒸#煎#焗#煮#烤', '$ 59.00']"
641,"['全城熱賣 - [海] · ❤️e閃購❤️ 海紅斑火鍋片 (300g 海斑火鍋片) 野生海捕 急凍 #salessea', '$ 89.90']"
642,"['鮮魚薈 - 冰鮮沙巴龍躉(去鱗去鰓去臟)附送薑蔥(冰鮮0-4°C)', '$ 108.00']"
643,"['海產佬市集 - 南美海參 355克 (急凍-18°C)', '$ 42.90']"
644,"['漁鮮快遞 - 日本辛子明太子80g(2-3條入)(急凍)', '$ 48.00']"
645,"['鮮魚薈 - (我去咗鱗版本) 元朗一帆冰鮮烏頭(去鰓去臟去鱗版)附送薑蔥(冰鮮0-4°C)', '$ 46.00']"
646,"['JASS - 台灣天然養殖無毒原條龍虎斑 (三去) 500g-600g +/-', '$ 108.00']"
647,"['海產佬市集 - 日月貝肉(帶子肉) (急凍-18°C)', '$ 48.80']"
648,"['海產佬市集 - 馬爾代夫黑瓜子 2條裝 (急凍-18°)', '$ 98.00']"
649,"['Kunihiro - 日本廣島冷凍高壓加工去殼蠔肉(M)(急凍-18°C)', '$ 198.00']"
650,"['34° Natural Food - 小龍蝦尾 - 蒜蓉味 (急凍 -18°C) 450g', '$ 88.00']"
651,"['鮮魚薈 - 天天新鮮『配料』套餐F - 土生土長元朗冰鮮烏頭 2條(去鰓去臟)附送薑蔥(冰鮮0-4°C)', '$ 88.00']"
652,"['海產佬市集 - 日本金目鯛(無頭)一夜干 (急凍-18°C)', '$ 89.00']"
653,"['海產佬市集 - 馬爾代夫紅雞 2條裝 (急凍-18°)', '$ 98.00']"
654,"['海產佬市集 - 日本北海道野付特大日本帶子(2L) 刺身級 1KG 裝(急凍-18°)', '$ 688.00']"
655,"['鮮魚薈 - 冰鮮東星斑柳(冰鮮0~4度)', '$ 118.00']"
656,"['TASTIBUY - 澳洲海捕大眼雞-孖裝500g X 2 份 (急凍)', '$ 108.00']"
657,"['海產佬市集 - 馬爾代夫紅朱 2條裝 (急凍-18°)', '$ 98.00']"
658,"['海產佬市集 - 急凍日本三重縣金蠔 80克(急凍-18°)', '$ 82.00']"
659,"['海產佬市集 - GARDE日式仿蟹腳棒(6條裝)(急凍-18°)', '$ 48.00']"
660,"['34° Natural Food - 熟章魚粒(急凍 -18°C) 約200g', '$ 35.00']"
661,"['Others - 智利三文魚扒 #OMEGA-3 (急凍)', '$ 38.00']"
662,"['港食肉 - 海的急凍黃花魚 (三去開肚)(250克/包)(急凍-18°C)', '$ 38.00']"
663,"['海的 - 【方便免劏】黃花魚', '$ 38.00']"
664,"['everbest - 魚腐竹卷300g', '$ 38.00']"
665,"['Lokyee - 挪威三文魚扒(急凍-18°C)#海鮮#鐵板#煎焗 此日期前最佳:2023年08月31日', '$ 38.00']"
666,"['Taylor Shellfish Farm - 泰勒-日本產多春魚5L(8條裝)', '$ 38.50']"
667,"['蔡市場 - 越南鯰魚柳', '$ 39.90']"
668,"['Peter’s Butchery and Kitchen - 新界魚市場: 蝦滑 150g (本地加工) (0-4°C)', '$ 42.00']"
669,"['Peter’s Butchery and Kitchen - 新界魚市場: 墨魚滑 150g (本地加工) (0-4°C)', '$ 42.00']"
670,"['34° Natural Food - 急凍魚唇絲 (急凍 -18°C) 450g', '$ 42.00']"
671,"['Chop Chop - 鯖魚柳 (~300g/2件) (急凍)', '$ 42.00']"
672,"['全城熱賣 - 香烤鱈魚(蛋奶素) 250g (急凍-18°C) 素食 雪魚', '$ 43.00']"
673,"['Taylor Shellfish Farm - 泰勒-赤魚一夜干(半身2枚)', '$ 46.90']"
674,"['me - 【加拿大】急凍多春魚', '$ 47.00']"
675,"['CoolFood - 日本直送！北海黃希靈魚刺身(解凍即食約130g ) 急凍', '$ 47.90']"
676,"['尚煮食品 - 冰島格陵蘭比目魚柳 (360G) (急凍-18°C)', '$ 48.00']"
677,"['Others - 羅非薄切滑魚片 #滑嫩 (急凍)', '$ 48.00']"
678,"['Others - 冰島比目魚扒 #低脂高蛋白 (急凍)', '$ 48.00']"
679,"['Others - 金湯酸菜魚 #翻熱即食#酸辣開胃(急凍)', '$ 48.00']"
680,"['34° Natural Food - 照燒格陵蘭比目魚柳(急凍 -18°C) 280g #照燒 #比目魚 #比目魚柳 #格陵蘭', '$ 48.00']"
681,"['真味市場 - 調味鮮魚柳 500g (急凍 - 零下18度)', '$ 48.00']"
682,"['屋台 - 藤椒魚 (310g) (急凍 -18°C)', '$ 48.00']"
683,"['雷澳美食 - 熱煙有皮三文魚件 (急凍-18°C存放)有180天保存期(出貨日起計)', '$ 48.00']"
684,"['Manna J - 水煮魚片454g (含魚片) (急凍-18°C)', '$ 48.50']"
685,"['大鵬海畔 - 加拿大多春魚300g(-18°C 急凍急速鎖鮮)', '$ 49.00']"
686,"['Hong Kong - 精選 厚切三文魚扒#約250克#盒裝', '$ 49.00']"
687,"['全城熱賣 - 香烤鱈魚(蛋奶素) 250g (急凍-18°C)[素食 雪魚 煎魚 炸魚 蒸魚 健康 炸物 打邊爐 火鍋 宵夜]香烤鱈魚(蛋奶素) 250g (急凍-18°C)[素食 雪魚 煎魚 炸魚 蒸魚 健康 炸物 打邊爐 火鍋 宵夜]', '$ 49.40']"
688,"['屋台 - 酸菜魚 (420g) (急凍 -18°C)', '$ 52.00']"
689,"['金星牌 Superstar - 紐西蘭深海急凍青衣魚柳，無骨無皮，肉質結實', '$ 53.00']"
690,"['均健 - 【鮮嫩】番茄金鳳魚片材料包', '$ 55.90']"
691,"['Manna J - Manna J酸菜魚片454g', '$ 56.00']"
692,"['全城熱賣 - (鰻片)蒲燒素鰻片(蛋奶素) 300g (急凍-18°C)內有8小片[素食 素魚 曼魚 鰻魚 煎魚 炸魚 蒸魚 健康 火鍋 炸物 打邊爐 宵夜]', '$ 56.90']"
693,"['尚煮食品 - 加拿大野生岩魚柳 (350g) (急凍-18°C)', '$ 58.00']"
694,"['Supreme Cook - 炸手指魚375g (2包) (急凍 -18°C)', '$ 58.00']"
695,"['均健 - 【生態養殖】金鳳魚片', '$ 58.00']"
696,"['寶達 - 活凍海金魚 (已去除魚鱗及內臟) (冰鮮 0-4度)', '$ 58.00']"
697,"['大鵬海畔 - 去頭小黃魚400g(-18°C 急凍急速鎖鮮)', '$ 59.00']"
698,"['Dahae Food - 綠茶醬醃魷魚 （急凍-18°C）', '$ 59.00']"
699,"['Dahae Food - 綠茶醬醃章魚 （急凍-18°C）', '$ 59.00']"
700,"['全城熱賣 - [海] · ❤️e閃購❤️ 挪威 高級煙三文魚 (100g± [黑Premium] 挪威三文魚) #salessea', '$ 59.90']"
701,"['零食大王 - 泰國野生石班魚柳 320g (急凍-18°C) (4897010671995)#海鮮#氣炸#煎焗', '$ 59.90']"
702,"['鯨魚仔 - 紅星班魚骹(370g) (急凍 -18°C)', '$ 60.00']"
703,"['卡美 - 煙挪威三文魚切片 (2件裝) (急凍-18°C)', '$ 60.00']"
704,"['CookCookLand - 日本蔥味三文魚 180g(急凍)', '$ 61.00']"
705,"['Taylor Shellfish Farm - 泰勒-北海道花魚一夜干M', '$ 61.90']"
706,"['大團圓 - 日式蒲燒鰻魚143克', '$ 62.00']"
707,"['Marina King - 加拿大Marina King野生岩魚柳 (急凍 - 零下18度)(新舊包裝隨機發送)', '$ 63.90']"
708,"['懶人堂 - Blue Crystal 格陵蘭 比目魚柳 #健康好味', '$ 65.00']"
709,"['海的 - 海鱸魚扒(急凍18℃)', '$ 67.00']"
710,"['34° Natural Food - 大西洋三文魚腩 (急凍 -18°C) 500g #急凍#海鮮#氣炸#煎焗#三文魚', '$ 68.00']"
711,"['尚煮食品 - 越南紅鯛魚柳 (有皮去骨) (400g) (急凍-18°C)', '$ 68.00']"
712,"['真味市場 - 智利 三文魚 頭 450g x 2 (急凍 - 零下18度)', '$ 68.00']"
713,"['寶達 - 韓國 生醃辣醬八爪魚粒 300g', '$ 68.00']"
714,"['均健 - 【生態養殖】加州鱸魚片', '$ 68.00']"
715,"['意記 - 原條A級蒲燒鰻魚(約200g) (急凍-18°C)', '$ 68.00']"
716,"['激安百貨 - 紐西蘭 野生捕獲的鱈魚 脆炸魚手指 New Zealand Sealord 400G (急凍-18°C)', '$ 68.00']"
717,"['鯨魚仔 - 大西洋三文魚扒(魚) (340g) (急凍 -18°C)', '$ 68.00']"
718,"['CookCookLand - 美國銀鱈魚尾段 (2-4件) 200g (急凍) #煲湯良品', '$ 70.00']"
719,"['Manna J - 挪威 比目魚扒 400克', '$ 76.00']"
720,"['L’Isola d’Oro - 意大利橄欖油浸三文魚150克', '$ 81.00']"
721,"['Walden Farms - 【零卡路里/零脂肪】天然奇異調味醬/沙拉醬(340 g)-生酮飲食概念系列/三文治/通心粉/西餐/吞拿魚', '$ 89.00']"
722,"['Captain Chef - 大西洋有皮三文魚柳 (250g)(急凍 -18°C) #海鮮#煎焗#氣炸#燒烤#無添加#無化學劑#Omega-3#蛋白質#低脂', '$ 98.00']"
723,"['尚品 - 挪威鱈魚膠(13-16片/盒)(120克) #至抵食花膠 #燜炒 #打邊爐 #熱賣', '$ 138.00']"
724,"['Chateau Giscours 美人魚酒莊 - 【法國波爾多】2016 美人魚 桃紅', '$ 165.00']"
725,"['家+Club - 翹花膠 丹麥鱈魚花膠超值裝 (小紅) 150g包裝 100頭 丹麥進口 香港自設工場 深海鱈魚製成 保留花膠鮮味 滿滿骨膠原', '$ 238.00']"
726,"['家+Club - 翹花膠 皇牌丹麥鱈魚花膠 (大紅) 604g包裝 50頭 丹麥進口 香港自設工場 深海鱈魚製成 保留花膠鮮味 滿滿骨膠原', '$ 998.00']"
727,"['尊西 - [英國直送] 葵花籽油浸吞拿魚塊（4盒裝）', '$ 47.90']"
